dinhDanh,nhanHienThi,moTa
Thuong_Dinh_My Trieu,Hội Nghị Thượng Đỉnh Mỹ -Triều Tiên,"Hội nghị thượng đỉnh Bắc Triều Tiên–Hoa Kỳ tại Hà Nội 2019 là cuộc gặp thượng đỉnh hai ngày giữa Lãnh đạo Bắc Triều Tiên Kim Jong-un và Tổng thống Hoa Kỳ Donald Trump, được tổ chức tại Khách sạn Metropole tại Hà Nội, Việt Nam"
Dieu_Tran,Phiên điều trần trước Quốc Hội Mỹ,Điều trần tại Quốc hội Hoa Kỳ  là thể thức chính để các ủy ban của Quốc hội Hoa Kỳ thu thập và xem xét các dữ kiện trong quá trình soạn thảo và tạo lập chính sách quốc gia. Buổi điều trần thường có phần vấn đáp do chứng nhân trình diện trước ủy ban liên quan của Quốc hội
Hoi_Nghi_Asean,Hội Nghị Cấp cao Asean,"Hội nghị cấp cao ASEAN, hay Hội nghị thượng đỉnh ASEAN là hội nghị giữa các nhà lãnh đạo của các quốc gia thành viên Hiệp hội các quốc gia Đông Nam Á để thảo luận về các vấn đề hợp tác phát triển kinh tế, văn hóa, và an ninh giữa các nước thành viên với nhau cũng như với các thành viên đối thoại của ASEAN"
Iphone_11,Ra mắt iphone 11,"Vào ngày 10 tháng 9 năm 2019, Apple đã chính thức ra mắt iPhone 11 tại Nhà hát Steve Jobs, cùng với iPhone 11 Pro và iPhone 11 Pro Max."
G_20,Hội Nghị Thượng Đỉnh G20 ,"G-20 là diễn đàn của 20 nền kinh tế lớn bao gồm 19 quốc gia có nền kinh tế lớn nhất trên thế giới (tính theo GDP, PPP) và Liên minh châu Âu (EU).Được chính thức thành lập từ năm 1999 và hiện đang chiếm hơn 85% nền kinh tế thế giới"
Windows_10,Ra mắt hệ điều hành Windows 10 ,Windows 10 là một hệ điều hành của Microsoft Windows  giới thiệu vào 30 tháng 9 năm 2014. Giao diện trên Windows 10 là sự kết hợp giữa Windows 8.1 và Windows 7
Trien_lam_oto,Triển lãm ô tô Paris Motor Show,"Triển lãm ô tô và mô tô Paris Mondial là cuộc triển lãm ô tô và mô tô được tổ chức 2 năm 1 lần tại khu triển lãm Paris Porte de Versailles nằm giữa Đại lộ vành đai Paris và Boulevards des Maréchaux, Quận 15, Paris"
Black_Friday,Black Friday,"Black Friday là một cái tên không chính thức cho ngày thứ sáu ngay sau Lễ Tạ Ơn và được coi là ngày mở hàng cho mùa mua sắm Giáng sinh của Mỹ kể từ năm 1952, mặc dù thuật ngữ ""Black Friday"" đã không được sử dụng rộng rãi cho đến những thập kỷ gần đây."
5_G,Ra mắt công nghệ 5G,"5G là thế hệ tiếp theo của công nghệ truyền thông di động sau thế hệ 4G, hoạt động ở các băng tần 28, 38, và 60 GHz.[1] Theo các nhà phát minh, mạng 5G sẽ có tốc độ nhanh hơn khoảng 100 lần so với mạng 4G hiện nay, giúp mở ra nhiều khả năng mới và hấp dẫn"
Hoi_Nghi_APEC,Hội Nghị thượng đỉnh APEC ,"APEC Việt Nam 2017 là loạt hội nghị trong khuôn khổ Diễn đàn Hợp tác Kinh tế Châu Á - Thái Bình Dương (APEC) diễn ra từ đầu tháng 12 năm 2016 đến tháng 11 năm 2017 tại Đà Nẵng, Việt Nam .Đỉnh điểm của sự kiện này là Hội nghị các nhà lãnh đạo kinh tế APEC hay Hội nghị Cấp cao APEC, diễn ra trong hai ngày 10 và 11 tháng 11 ở Đà Nẵng"
F1,Giải đua xe công thức F1 ,Giải đua ô tô Công thức 1 Việt Nam là một giải đua ô tô Công thức 1 đề xuất được diễn ra lần đầu vào năm 2020.[1] Giải đua sẽ được diễn ra trên các tuyến phố giao thông đô thị của Hà Nội.
Quoc_khanh,Quốc Khánh nước CHND Trung Hoa ,"Ngày Quốc khánh nước Cộng hòa Nhân dân Trung Hoa là ngày lễ kỷ niệm sự ra đời của nước Cộng hòa nhân dân Trung Hoa, được kỷ niệm hàng năm vào ngày 1 tháng 10. Ngày này ở Trung Quốc đại lục, Hồng Kông, Ma Cao được quy định là ngày lễ pháp định hoặc là ngày nghỉ của công chúng."
