dinhDanh,nhanHienThi,moTa,quocGia
Ha_Noi,Thủ đô Hà Nội,"Hà Nội, thủ đô của Việt Nam, nổi tiếng với kiến trúc trăm tuổi và nền văn hóa phong phú với sự ảnh hưởng của khu vực Đông Nam Á, Trung Quốc và Pháp. Trung tâm thành phố là Khu phố cổ nhộn nhịp, nơi các con phố hẹp được mang tên ""hàng"".",Việt Nam
Da_Nang,Thành phố Đà Nẵng ,"Đà Nẵng là một thành phố trực thuộc trung ương, nằm trong vùng Duyên hải Nam Trung Bộ Việt Nam, là trung tâm kinh tế, chính trị, du lịch, giáo dục - đào tạo, y tế, khoa học - công nghệ, công nghệ thông tin của Miền Trung - Tây Nguyên và cả nước",Việt Nam
Washington_D.C,Thủ đô Washington D.C,"Washington, D.C. là thủ đô của Hoa Kỳ, được thành lập vào ngày 16 tháng 7 năm 1790, thường được gọi ngắn gọn là Washington, hoặc D.C Địa danh này mang tên vị Tổng thống đầu tiên George Washington của Hợp chúng quốc, kết hợp với tên của người khám phá ra châu Mỹ Cristoforo Colombo",Mỹ
Nha_Trang,Nhà Trắng,Nhà Trắng là nơi ở chính thức và là nơi làm việc chính của Tổng thống Hoa Kỳ. Nhà Trắng là một biệt thự sơn màu trắng và được xây bằng sa thạch theo kiểu tân cổ điển .Toà nhà lịch sử này được xây dựng sau khi quốc hội Hoa Kỳ quyết định thành lập đặc khu Colombia và chọn nơi đây là thủ đô Hợp chủng quốc Hoa Kỳ ,Mỹ
California,Bang California,"California còn được người Việt gọi vắn tắt là Ca Li, là một tiểu bang ven biển phía tây của Hoa Kỳ. Với dân số là 38 triệu người[1] và diện tích 410,000 km2 (158,402 mi2), California là tiểu bang đông dân nhất Hoa Kỳ và lớn thứ ba theo diện tích.",Mỹ
Paris,Thủ đô Paris ,"Paris là thủ đô của nước Pháp, cũng là một trong ba thành phố phát triển kinh tế nhanh nhất thế giới cùng Luân Đôn và New York và cũng là một trung tâm hành chính của vùng Île-de-France. Nằm ở phía bắc nước Pháp, khu vực trung tâm của châu Âu.  Paris được xây dựng hai bên bờ sông Seine với tâm là đảo Île de la Cité",Pháp
Jarkata,Thủ đô Jarkata,"Jakarta  là thủ đô và là thành phố lớn nhất của Indonesia. Nó cũng là một tỉnh của Indonesia. Trước đây thành phố được biết đến với những cái tên như là Sunda Kelapa, Jayakarta và Batavia. Jakarta tọa lạc trên bờ tây bắc của Đảo Java, có diện tích 661,52 km² và dân số 8.792.000 người .",Indonesia
Bắc Kinh,Thủ đô Bắc Kinh,"Bắc Kinh, là thủ đô của nước Cộng hòa Nhân dân Trung Hoa. Năm 2018, thủ đô Bắc Kinh là đơn vị hành chính đông thứ hai mươi sáu về số dân, đứng thứ mười hai về kinh tế Trung Quốc với 21,5 triệu dân và GDP đạt 3.032 tỉ NDT tương ứng với Áo hay Na Uy",Trung Quốc
Tokyo,Thủ đô Tokyo,"Tokyo là thủ đô không chính thức và cũng là một trong 47 tỉnh của Nhật Bản, nằm ở phía đông của đảo chính Honshū. Không chỉ là một đô thị riêng lẻ, Tokyo ngày nay còn là trung tâm của Vùng thủ đô Tōkyō. Trung tâm hành chính của Tokyo đặt ở khu Shinjuku.",Nhật Bản
Bien_Dong,Biển Đông,"Biển Đông là tên gọi riêng của Việt Nam để nói đến vùng biển có tên quốc tế là South China Sea hay Mer de Chine méridionale, là một biển rìa lục địa và là một phần của Thái Bình Dương, trải rộng từ Singapore tới eo biển Đài Loan và bao phủ một diện tích khoảng 3.447.000 km²",Khu vực quốc tế 
