dinhDanh,nhanHienThi,moTa,truSo
Apple ,Apple ,"Apple Inc là tập đoàn công nghệ máy tính đa quốc gia của Mỹ,là thương hiệu đắt giá nhất toàn cầu ,là công ty công nghệ lớn nhất thế giới sở hữu hệ sinh thái công nghệ phần mềm và phần cứng rộng lớn ","Cupertino, California, Hoa Kỳ"
Vingroup,Vingroup,"Tập đoàn Vingroup là một công ty đa ngành tại Việt Nam.Tại Việt Nam, Vingroup được coi như là một phiên bản chaebol Hàn Quốc, một dạng tập đoàn đa ngành làm mọi việc và mang trọng trách làm ngọn cờ đầu của nền kinh tế","Quận Long Biên, Hà Nội,Việt Nam"
Google,Google,"Google LLC là một công ty công nghệ đa quốc gia của Mỹ do Larry Page và Sergey Brin sáng lập, chuyên về các dịch vụ và sản phẩm liên quan đến Internet, bao gồm các công nghệ quảng cáo trực tuyến, công cụ tìm kiếm, điện toán đám mây, phần mềm và phần cứng","Mountain View, California, Hoa Kỳ"
Huawei,Huawei,"là một tập đoàn đa quốc gia về thiết bị mạng và viễn thông, có trụ sở chính tại Thâm Quyến, Quảng Đông, Trung Quốc. Huawei được thành lập năm 1987 bởi Nhậm Chính Phi, một cựu kỹ sư của Giải phóng quân Nhân dân Trung Quốc","Thâm Quyến ,Trung Quốc"
Tesla,Tesla,"Tesla, Inc. là một công ty của Mỹ chuyên thiết kế, sản xuất và phân phối sản phẩm ô tô điện và linh kiện cho các phương tiện chạy điện,là công ty đầu tiên trên thế giới bán được 1 triệu chiếc ô tô điện.","Palo Alto, California, Hoa Kỳ"
Vinfast,Vinfast," Vinfast là một nhà sản xuất ô tô của Việt Nam , là một thành viên của tập đoàn xây dựng và bất động sản Vingroup, được Phạm Nhật Vượng sáng lập. Tên công ty là viết tắt của cụm từ ""Việt Nam – Phong cách – An toàn – Sáng tạo – Tiên phong""","Khu công nghiệp Đình Vũ ,Cát Hải , Hải Phòng"
Microsoft,Microsoft,"Microsoft là một tập đoàn đa quốc gia của Hoa Kỳ,huyên phát triển, sản xuất, kinh doanh bản quyền phần mềm và hỗ trợ trên diện rộng các sản phẩm và dịch vụ liên quan đến máy tính. Công ty được sáng lập bởi Bill Gates và Paul Allen","Redmond, Washington, Hoa Kỳ"
Facebook,Facebook,"Facebook, Inc là một công ty phương tiện truyền thông xã hội và dịch vụ mạng xã hội trực tuyến thành lập vào năm 2004 của Mỹ Đây ,được coi là một trong những công ty công nghệ Big Four cùng với Amazon, Apple và Google","Menlo Park, California, Hoa Kỳ"
Quoc_Hoi_My,Quốc hội Mỹ,"Quốc hội Hoa Kỳ là cơ quan lập pháp lưỡng viện của Chính quyền Liên bang Hợp Chúng quốc Hoa Kỳ. Quốc hội Hoa Kỳ là định chế quyền lực theo mô hình lưỡng viện, gồm Hạ viện và Thượng viện đều có quyền lực trong quy trình thông qua các dự luật","Washington ,D.C,Hoa Kỳ "
Asean,Asean,"Hiệp hội các Quốc gia Đông Nam Á là một liên minh chính trị, kinh tế, văn hóa và xã hội của các quốc gia trong khu vực Đông Nam Á,3 động lực tạo ra ASEAN là mục đích xây dựng đất nước và mục tiêu phát triển kinh tế, chính trị và an ninh","Jakarta , Indonesia"
