dinhDanh,nhanHienThi,moTa,chucVu
Donald_Trump,Donald Trump,"Donald John Trump là đương kim Tổng thống Hoa Kỳ thứ 45. Trước đó, ông nổi tiếng với vai trò là một tỷ phú, doanh nhân",Tổng thống 
Tim_Cook,Tim Cook,"Tim Cook là một doanh nhân người Mỹ và tổng giám đốc điều hành tập đoàn Apple Inc., từ tháng 8 năm 2011, sau khi Steve Jobs từ chức",Giám đốc điều hành 
Nhậm Chính Phi,Nhậm Chính Phi,"Nhậm Chính Phi là một doanh nhân người Trung Quốc, ông là người sáng lập và tổng giám đốc của Tập đoàn công nghệ Huawei,là một cựu kỹ sư không quân hàm của Quân Giải Phóng Nhân dân Trung Quốc",Tổng Giám Đốc
Pham_Nhat_Vuong,Phạm Nhật Vượng ,"Phạm Nhật Vượng là một doanh nhân và tỷ phú người Việt Nam, hiện là Chủ tịch Hội đồng quản trị Vingroup",Chủ tịch Hội đồng quản trị 
Kim_Jong_Un,Kim Jong Un,"Kim Jong Un là lãnh đạo tối cao của Cộng hoà Dân chủ Nhân dân Triều Tiên, đương kim Bí thư thứ nhất Đảng Lao động Triều Tiên",Nhà lãnh đạo tối cao 
Mark_Zukerberg,Mark Zukerberg,Mark Elliot Zuckerberg là một nhà lập trình máy tính người Mỹ kiêm doanh nhân mảng công nghệ Internet. Anh là nhà đồng sáng lập của Facebook,Chủ tịch kiêm Giám đốc điều hành 
Nguen_Xuan_Phuc,Nguyễn Xuân Phúc ,Nguyễn Xuân Phúc hiện là Thủ tướng Chính phủ đương nhiệm của nước Cộng hoà xã hội chủ nghĩa Việt Nam,Thủ tướng 
Tap_Can_Binh,Tập Cận Bình,Tập Cận Bình là nhà lãnh đạo quốc gia tối cao của Trung Quốc. Ông hiện là Tổng Bí thư Ủy ban Trung ương Đảng Cộng sản Trung Quốc,Tổng Bí Thư
Bill_Gates,Bill Gates,"Bill Gates  là một doanh nhân người Mỹ, nhà từ thiện, tác giả và chủ tịch tập đoàn Microsoft, hãng phần mềm khổng lồ mà ông cùng với Paul Allen đã sáng lập ra",Chủ tịch Hội đồng quản trị
Elon_Musk,Elon Musk ,"Elon Musk là một nhà phát minh, doanh nhân, tỉ phú người Nam Phi. Ông được biết đến với tư cách người sáng lập SpaceX và đồng sáng lập Tesla Motors và PayPal",Giám đốc điều hành 
